linkname,linkdescription,category,id,link,user_id,linkusername,contactname,contactphonenumber,contactemail,notes
"Github","my personal github account","git","057e7ffc-63aa-4f4c-8d19-b1f840ffed91","https://github.com/Fabo011","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"Campus","mycampus my campus study account","study","6eb9369c-78f0-4502-aca8-9afb8ce5a18a","https://mycampus.iubh.de","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"DudenRechtschreibung","duden rechtschreibung","convenient","2f82408f-049a-4c9e-b9fd-1b9d9eb6f00d","https://www.duden.de/rechtschreibpruefung-online","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"StremioAddons","stremio addons movies","offtime","cec1b156-62bf-4340-acfc-6f31d943a178","https://stremio-addons.netlify.app/","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"Miro","miro drawing board team drawing","bosch","eada77e8-81e3-410a-9399-e83affb877f9","https://miro.com/","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"BoschIBM","bosch ibm request permission","bosch","ce447b1c-1e9c-4d2e-97b1-b4a7e8bd9759","https://rb-im.bosch.com/BOAWeb/selfservice","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"Feedback","how to give feedback in english","education","01a4284a-a5ba-443f-842d-b68c071b7542","https://www.speakconfidentenglish.com/how-to-give-feedback-advice-in-english/","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"Berrybase","berrybase buy raspberrypi raspberry pi","tech","46fb1ddd-b911-419d-ac5f-0cbbe92110ce","https://www.berrybase.de","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"TypescriptBestPract","typescript best practices","tech","5c488471-5144-4bd7-b82b-18ee678e21e0","https://medium.com/@sobitdaniel/typescript-best-practices-610e8facb8df","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"WhatisSolArch","what is solution architect types of solution architect","education","1b69cdab-e70a-42df-99a2-49e322e05d4f","https://www.youtube.com/watch?v=WI5XaZcEoJI","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"UrlEncoder","url encoder","convenient","0401dfdf-20a2-4cf2-9fd1-902e6f69b49a","https://www.urlencoder.org/","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"PkPKI","pk pki certificate management perfectly keyless","bosch","a68b732d-ad40-4250-9573-592f3c8c00e9","https://rb-tools.de.bosch.com/Home/Home","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"Hellofresh","hellofresh food delivery meals","private","327e6ba9-73e6-41f1-951b-7040b31957cf","https://www.hellofresh.com/","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"Veganesia","restaurantes restaurant vegetarian vegan food meals","private","9d9902e6-ec83-4986-ae81-daa6a54c698f","https://vegetasia.at/","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"Anxity","anxity grundformen der angst book buch","education","7a530d28-e04c-4939-9e6f-9b309bdf63d3","https://www.amazon.de/Grundformen-Angst-Fritz-Riemann/dp/3497024228","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"PKI","open source pki certificate management","tech","06aa34d2-e9c9-4d51-bcd0-a932d3de1c21","https://www.ejbca.org/","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"BoschJFrog","bosch pk jfrog artefactory perfectly keyless","bosch","37da627e-2f5e-4a67-8675-97ed3bfdf37c","https://artifactory.boschdevcloud.com/ui/login","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"PKCertificate","pk certificate perfectly keyless","bosch","6a076814-0db6-4f48-a28d-245e5340adac","https://inside-docupedia.bosch.com/confluence/display/ECUSWDEV/Certificate+Chain+-+E2E+Overview","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"Bikester","bikester mountainbike downhill onlineshop","offtime","e439fa69-f8a3-48bd-b3e4-7a7e95e98e8d","https://www.bikester.at","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
"Beaches","vacation ideas holidays beach","offtime","f68b722b-b789-4f94-a87f-446fc9ae5112","https://realgreekexperiences.com/best-beaches-in-rhodes","dbe333e9-5fd9-459c-87eb-bc273ff57865","","","","",""
